t,shot,target,marker_x,marker_y,error_x,error_y,pid_yaw_out,pid_pitch_out,gimbal_yaw,gimbal_pitch,kp_yaw,ki_yaw,kd_yaw,kp_pitch,ki_pitch,kd_pitch
0.5654098987579346,4,center,0.5125,0.4625,0.012499999999999956,-0.03749999999999998,-0.43063967306771644,4.012846562891005,1.0,-9.1,100.0,2.0,30.0,100.0,2.0,30.0
0.6054155826568604,4,center,0.5125,0.4625,0.012499999999999956,-0.03749999999999998,1.3348116299390749,4.015846989183424,1.1,-8.9,100.0,2.0,30.0,100.0,2.0,30.0
0.638756275177002,4,center,0.5125,0.4625,0.012499999999999956,-0.03749999999999998,1.3356451472520785,4.018347541122434,1.1,-8.8,100.0,2.0,30.0,100.0,2.0,30.0
0.6722486019134521,4,center,0.51094,0.46528,0.01093999999999995,-0.03471999999999997,-0.21695702928476202,1.2525506403195972,1.1,-8.7,100.0,2.0,30.0,100.0,2.0,30.0
0.7045748233795166,4,center,0.51094,0.46528,0.01093999999999995,-0.03471999999999997,1.181085257086749,3.7449179811096163,1.1,-8.7,100.0,2.0,30.0,100.0,2.0,30.0
0.7379462718963623,4,center,0.51094,0.46944,0.01093999999999995,-0.030559999999999976,1.1818154243802974,-0.40876614819822565,1.2,-8.5,100.0,2.0,30.0,100.0,2.0,30.0
0.7710244655609131,4,center,0.51094,0.46944,0.01093999999999995,-0.030559999999999976,1.182525377354617,3.3329408399200413,1.2,-8.4,100.0,2.0,30.0,100.0,2.0,30.0
0.8006711006164551,4,center,0.51094,0.47361,0.01093999999999995,-0.026390000000000025,1.183187843632693,-1.2142759685887374,1.2,-8.4,100.0,2.0,30.0,100.0,2.0,30.0
0.009770870208740234,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,3.708823768388589,-0.9943038980249188,-16.5,-12.0,100.0,2.0,30.0,100.0,2.0,30.0
0.0433344841003418,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,-7.3597126782989495,9.528309151954648,-16.5,-12.0,100.0,2.0,30.0,100.0,2.0,30.0
0.06778097152709961,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,-7.36322710533142,9.532859132194517,-16.5,-12.0,100.0,2.0,30.0,100.0,2.0,30.0
0.10010457038879395,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,-7.367873945903778,9.538875200414655,-16.4,-12.0,100.0,2.0,30.0,100.0,2.0,30.0
0.14959049224853516,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,-7.374988042030334,9.54808552019119,-16.8,-11.7,100.0,2.0,30.0,100.0,2.0,30.0
0.18988537788391113,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,-7.380780834789276,9.555585204305647,-17.1,-11.3,100.0,2.0,30.0,100.0,2.0,30.0
0.221893310546875,5,left,0.42812,0.40694,-0.07188,-0.09305999999999998,-7.385382295188903,9.561542520732877,-17.5,-10.9,100.0,2.0,30.0,100.0,2.0,30.0
0.24766302108764648,5,left,0.43281,0.41806,-0.06719000000000003,-0.08194000000000001,-1.459946881279322,-4.491664962866215,-17.6,-10.8,100.0,2.0,30.0,100.0,2.0,30.0
0.2641115188598633,5,left,0.43281,0.41806,-0.06719000000000003,-0.08194000000000001,-6.9220555780220066,8.456461240711214,-18.0,-10.4,100.0,2.0,30.0,100.0,2.0,30.0
0.31325650215148926,5,left,0.43437,0.42083,-0.06563000000000002,-0.07917000000000002,-5.820221967388895,6.496327642136314,-18.2,-10.3,100.0,2.0,30.0,100.0,2.0,30.0
0.3372368812561035,5,left,0.43437,0.42083,-0.06563000000000002,-0.07917000000000002,-6.775654013090136,8.191039910593034,-18.3,-10.0,100.0,2.0,30.0,100.0,2.0,30.0
0.3894081115722656,5,left,0.44062,0.4375,-0.05937999999999999,-0.0625,-2.562915072083992,-3.0551815743580777,-18.7,-9.7,100.0,2.0,30.0,100.0,2.0,30.0
0.4065096378326416,5,left,0.44062,0.4375,-0.05937999999999999,-0.0625,-6.158880845661162,6.5326990051651,-18.8,-9.6,100.0,2.0,30.0,100.0,2.0,30.0
0.44557619094848633,5,left,0.44531,0.44306,-0.054690000000000016,-0.05693999999999999,-2.092607640841429,1.7115109207666324,-19.0,-9.4,100.0,2.0,30.0,100.0,2.0,30.0
0.49387478828430176,5,left,0.44531,0.44306,-0.054690000000000016,-0.05693999999999999,-5.6994368458175675,5.986648148498534,-19.1,-9.2,100.0,2.0,30.0,100.0,2.0,30.0
0.5124955177307129,5,left,0.44687,0.44583,-0.05313000000000001,-0.054169999999999996,-1.136844531044801,1.2488972772030946,-19.4,-9.2,100.0,2.0,30.0,100.0,2.0,30.0
0.5378804206848145,5,left,0.45,0.45139,-0.04999999999999999,-0.04860999999999999,-2.4225077178531187,-1.4127012146502222,-19.4,-9.1,100.0,2.0,30.0,100.0,2.0,30.0
0.5712864398956299,5,left,0.45,0.45139,-0.04999999999999999,-0.04860999999999999,-5.238244477987289,5.161381171779631,-19.5,-9.0,100.0,2.0,30.0,100.0,2.0,30.0
0.6135044097900391,5,left,0.45312,0.45417,-0.04687999999999998,-0.04582999999999998,-2.713137442214338,2.911788758236024,-19.5,-8.9,100.0,2.0,30.0,100.0,2.0,30.0
0.6455061435699463,5,left,0.45312,0.45694,-0.04687999999999998,-0.04305999999999999,-4.933203317403791,2.016272552893485,-19.7,-8.8,100.0,2.0,30.0,100.0,2.0,30.0
0.6868748664855957,5,left,0.45312,0.45694,-0.04687999999999998,-0.04305999999999999,-4.9370820488643625,4.6165695346307745,-19.8,-8.7,100.0,2.0,30.0,100.0,2.0,30.0
0.7192351818084717,5,left,0.45312,0.45694,-0.04687999999999998,-0.04305999999999999,-4.940116152029035,4.61935640498638,-20.1,-8.6,100.0,2.0,30.0,100.0,2.0,30.0
0.7356057167053223,5,left,0.45625,0.45972,-0.04375000000000001,-0.04027999999999998,1.1073666294064335,-0.7518437192285496,-20.1,-8.6,100.0,2.0,30.0,100.0,2.0,30.0
0.7759349346160889,5,left,0.45625,0.45972,-0.04375000000000001,-0.04027999999999998,-4.632077380399705,4.345924137072561,-20.3,-8.4,100.0,2.0,30.0,100.0,2.0,30.0
0.8167507648468018,5,left,0.45937,0.4625,-0.04063,-0.03749999999999998,-2.030166190609424,2.0276604788429395,-20.4,-8.3,100.0,2.0,30.0,100.0,2.0,30.0
0.8417885303497314,5,left,0.45937,0.4625,-0.04063,-0.03749999999999998,-4.32542864358902,4.072863156752584,-20.5,-8.3,100.0,2.0,30.0,100.0,2.0,30.0
0.8683443069458008,5,left,0.45937,0.46528,-0.04063,-0.03471999999999997,-4.327586565995216,0.6561475569013071,-20.5,-8.2,100.0,2.0,30.0,100.0,2.0,30.0
0.9085512161254883,5,left,0.46094,0.46667,-0.039059999999999984,-0.033330000000000026,-3.002287074332351,2.623252202179723,-20.7,-8.1,100.0,2.0,30.0,100.0,2.0,30.0
0.9483263492584229,5,left,0.46094,0.46667,-0.039059999999999984,-0.033330000000000026,-4.176834763140677,3.6630387928199797,-20.8,-8.0,100.0,2.0,30.0,100.0,2.0,30.0
0.9803261756896973,5,left,0.4625,0.46806,-0.03749999999999998,-0.031940000000000024,-2.560726817446828,2.222950873514521,-21.0,-8.0,100.0,2.0,30.0,100.0,2.0,30.0
1.0053784847259521,5,left,0.46562,0.47222,-0.03438000000000002,-0.027780000000000027,0.023225208757254645,-1.870101892843755,-21.0,-7.9,100.0,2.0,30.0,100.0,2.0,30.0
1.0384743213653564,5,left,0.46562,0.47222,-0.03438000000000002,-0.027780000000000027,-3.7152330166196847,3.113313652706149,-21.2,-7.8,100.0,2.0,30.0,100.0,2.0,30.0
1.079026460647583,5,left,0.46562,0.47361,-0.03438000000000002,-0.026390000000000025,-3.7180213817167305,1.9481481952665387,-21.2,-7.8,100.0,2.0,30.0,100.0,2.0,30.0
1.1131515502929688,5,left,0.46875,0.47361,-0.03125,-0.026390000000000025,-0.6555130766526567,2.978255116848948,-21.2,-7.8,100.0,2.0,30.0,100.0,2.0,30.0
1.1509788036346436,5,left,0.46875,0.47361,-0.03125,-0.026390000000000025,-3.4095184031534194,2.9802516392803216,-21.3,-7.7,100.0,2.0,30.0,100.0,2.0,30.0
1.1708595752716064,5,left,0.46875,0.47639,-0.03125,-0.02361000000000002,-3.4107609513807295,-1.491817788701841,-21.4,-7.7,100.0,2.0,30.0,100.0,2.0,30.0
1.211482286453247,5,left,0.46875,0.47639,-0.03125,-0.02361000000000002,-3.413299870829582,2.7051086137390157,-21.5,-7.6,100.0,2.0,30.0,100.0,2.0,30.0
1.2457184791564941,5,left,0.46875,0.47639,-0.03125,-0.02361000000000002,-3.415439632873535,2.706725246758463,-21.6,-7.5,100.0,2.0,30.0,100.0,2.0,30.0
1.2786729335784912,5,left,0.47031,0.47917,-0.029689999999999994,-0.020830000000000015,-1.8412546143896524,-0.10066748226334976,-21.7,-7.4,100.0,2.0,30.0,100.0,2.0,30.0
